Title,Author(s),Year,Source,Status,Exclusion Criteria,Inclusion Criteria,Quality Grade,Goal
Empirical Evaluations of Regression Test Selection Techniques: A Systematic Review,"Engstr\""{o}m, Emelie and Skoglund, Mats and Runeson, Per",2008,ACM Digital Library,Rejected,Not a primary study,,N/A,N/A
Controlled Experiments Comparing Fault-Tree-Based Safety Analysis Techniques,"Mouaffo, Adrien and Taibi, Davide and Jamboti, Kavyashree",2014,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Evaluating the Practical Use of Different Measurement Scales in Requirements Prioritisation,"Karlsson, Lena and H\""{o}st, Martin and Regnell, Bj\""{o}rn",2006,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Assessing the Effect of Screen Mockups on the Comprehension of Functional Requirements,"Ricca, Filippo and Scanniello, Giuseppe and Torchiano, Marco and Reggio, Gianna and Astesiano, Egidio",2014,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
Recommender Systems for Manual Testing: Deciding How to Assign Tests in a Test Team,"Miranda, Breno and Aranha, Eduardo Henrique da Silva and Iyoda, Juliano Manabu",2012,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Python Crypto Misuses in the Wild,"Wickert, Anna-Katharina and Baumg\""{a}rtner, Lars and Breitfelder, Florian and Mezini, Mira",2021,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Does Automated Unit Test Generation Really Help Software Testers? A Controlled Empirical Study,"Fraser, Gordon and Staats, Matt and McMinn, Phil and Arcuri, Andrea and Padberg, Frank",2015,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
How Understandable Are Pattern-Based Behavioral Constraints for Novice Software Designers?,"Czepa, Christoph and Zdun, Uwe",2019,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Systematic reviews in software engineering: An empirical investigation,He Zhang and Muhammad {Ali Babar},2013,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Six strategies for generalizing software engineering theories,Roel Wieringa and Maya Daneva,2015,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Software visualizations for improving and measuring the comprehensibility of source code,David A. Umphress and T. Dean Hendrix and James H. {Cross II} and Saeed Maghsoodloo,2006,Science@Direct,Accepted,,Experiment,1.0,Explore relationships
Investigations about replication of empirical studies in software engineering: A systematic mapping study,Cleyton V.C. {de Magalhães} and Fabio Q.B. {da Silva} and Ronnie E.S. Santos and Marcos Suassuna,2015,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Evolution of statistical analysis in empirical software engineering research: Current state and steps forward,Francisco Gomes {de Oliveira Neto} and Richard Torkar and Robert Feldt and Lucas Gren and Carlo A. Furia and Ziwei Huang,2019,Science@Direct,Rejected,Not a primary study,,N/A,N/A
The role and value of replication in empirical software engineering results,Martin Shepperd and Nemitari Ajienka and Steve Counsell,2018,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Guidelines for conducting systematic mapping studies in software engineering: An update,Kai Petersen and Sairam Vakkalanka and Ludwik Kuzniarz,2015,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Automatic enforcement of constraints in real-time collaborative architectural decision making,Patrick Gaubatz and Ioanna Lytra and Uwe Zdun,2015,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
The contribution that empirical studies performed in industry make to the findings of systematic reviews: A tertiary study,David Budgen and Pearl Brereton and Nikki Williams and Sarah Drummond,2018,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Analyzing the understandability of Requirements Engineering languages for CSCW systems: A family of experiments,Miguel A. Teruel and Elena Navarro and Víctor López-Jaquero and Francisco Montero and Javier Jaen and Pascual González,2012,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Source-code comprehension tasks supported by UML design models: Results from a controlled experiment and a differentiated replication,Carmine Gravino and Giuseppe Scanniello and Genoveffa Tortora,2015,Science@Direct,Accepted,,Experiment,1.0,Confirm theories
Chapter Two - Evaluating software testing techniques: A systematic mapping study,Mitchell Mayeda and Anneliese Andrews,2021,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Visualization of aggregated information to support class-level software evolution,Mona Rahimi and Michael Vierhauser,2022,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
The Use of Visual Text Mining to Support the Study Selection Activity in Systematic Literature Reviews: A Replication Study,"Felizardo, Katia Romero and Souza, Simone R.S. and Maldonado, José Carlos",2013,IEEE Xplore,Rejected,Not a primary study,,N/A,N/A
Recommender systems for manual testing,"Miranda, Breno and Aranha, Eduardo and Lyoda, Juliano",2012,IEEE Xplore,Rejected,Out of Scope,,N/A,N/A
"Assembling Multiple-Case Studies: Potential, Principles and Practical Considerations","Yamashita, Aiko and Moonen, Leon",2014,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Aspect-orientation is a rewarding investment into future code changes – As long as the aspects hardly change,Stefan Hanenberg and Stefan Endrikat,2013,Science@Direct,Accepted,,Experiment,1.0,Confirm theories
A Systematic Mapping Study driven by the margin of error,Tomaž Kosar and Sudev Bohra and Marjan Mernik,2018,Science@Direct,Rejected,Not a primary study,,N/A,N/A
A systematic literature review of software visualization evaluation,L. Merino and M. Ghafari and C. Anslow and O. Nierstrasz,2018,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Empirical studies omit reporting necessary details: A systematic literature review of reporting quality in model based testing,Muhammad Uzair khan and Sidra iftikhar and Muhammad Zohaib Iqbal and Salman Sherin,2018,Science@Direct,Rejected,Not a primary study,,N/A,N/A
How have we evaluated software pattern application? A systematic mapping study of research design practices,Maria Riaz and Travis Breaux and Laurie Williams,2015,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Bug report severity level prediction in open source software: A survey and research opportunities,Luiz Alberto Ferreira Gomes and Ricardo da Silva Torres and Mario Lúcio Côrtes,2019,Science@Direct,Rejected,Not a primary study,,N/A,N/A
The state of the art in automated requirements elicitation,Hendrik Meth and Manuel Brhel and Alexander Maedche,2013,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Replicating software engineering experiments: a poisoned chalice or the Holy Grail,James Miller,2005,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Distributed Pair Programming: A Systematic Literature Review,Bernardo José {da Silva Estácio} and Rafael Prikladnicki,2015,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Empirical evidence in follow the Sun software development: A systematic mapping study,Josiane Kroll and Ita Richardson and Rafael Prikladnicki and Jorge L.N. Audy,2018,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Summarizing vulnerabilities’ descriptions to support experts during vulnerability assessment activities,Ernesto Rosario Russo and Andrea {Di Sorbo} and Corrado A. Visaggio and Gerardo Canfora,2019,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Brain and autonomic nervous system activity measurement in software engineering: A systematic literature review,Barbara Weber and Thomas Fischer and René Riedl,2021,Science@Direct,Rejected,Not a primary study,,N/A,N/A
A framework for exploring unifying theories of empirical software engineering,Dewayne E. Perry,2015,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Chapter One - Comparing Reuse Strategies in Different Development Environments,Julia Varnell-Sarjeant and Anneliese {Amschler Andrews},2015,Science@Direct,Rejected,Out of Scope,,N/A,N/A
A maturity model for secure requirements engineering,Mahmood Niazi and Ashraf Mohammed Saeed and Mohammad Alshayeb and Sajjad Mahmood and Saad Zafar,2020,Science@Direct,Accepted,,Case Study,1.0,Evaluate the accuracy of models
Initiatives and challenges of using gamification in software engineering: A Systematic Mapping,Daniel de Paula Porto and Gabriela Martins de Jesus and Fabiano Cutigi Ferrari and Sandra Camargo Pinto Ferraz Fabbri,2021,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Big Data analytics in Agile software development: A systematic mapping study,Katarzyna Biesialska and Xavier Franch and Victor Muntés-Mulero,2021,Science@Direct,Rejected,Not a primary study,,N/A,N/A
How has design thinking being used and integrated into software development activities? A systematic mapping,Rafael Parizi and Matheus Prestes and Sabrina Marczak and Tayana Conte,2022,Science@Direct,Rejected,Not a primary study,,N/A,N/A
When {Software} {Engineers} {Met} {Research} {Scientists}: {A} {Case} {Study},"Segal, Judith",2005,Springer Link,Accepted,,Case Study,1.0,Explore relationships
Rapid quality assurance with Requirements Smells,Henning Femmer and Daniel {Méndez Fernández} and Stefan Wagner and Sebastian Eder,2017,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A systematic mapping study of software product lines testing,Paulo Anselmo {da Mota Silveira Neto} and Ivan do {Carmo Machado} and John D. McGregor and Eduardo Santana {de Almeida} and Silvio Romero {de Lemos Meira},2011,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Software process line as an approach to support software process reuse: A systematic literature review,Eldânae {Nogueira Teixeira} and Fellipe Araújo Aleixo and Francisco Dione de Sousa Amâncio and Edson OliveiraJr and Uirá Kulesza and Cláudia Werner,2019,Science@Direct,Rejected,Not a primary study,,N/A,N/A
"Chapter Three - Automated Test Oracles: State of the Art, Taxonomies, and Trends",Rafael A.P. Oliveira and Upulee Kanewala and Paulo A. Nardi,2014,Science@Direct,Rejected,Out of Scope,,N/A,N/A
"Cooperation, collaboration and pair-programming: Field studies on backup behavior",Irina D. Coman and Pierre N. Robillard and Alberto Sillitti and Giancarlo Succi,2014,Science@Direct,Accepted,,Experiment,1.0,Confirm theories
Decision architect – A decision documentation tool for industry,Christian Manteuffel and Dan Tofan and Paris Avgeriou and Heiko Koziolek and Thomas Goldschmidt,2016,Science@Direct,Rejected,Out of Scope,,N/A,N/A
A systematic literature review on requirement prioritization techniques and their empirical evaluation,Faiza Allah Bukhsh and Zaharah Allah Bukhsh and Maya Daneva,2020,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Tailoring the Scrum framework for software development: Literature mapping and feature-based support,Luciano A. Garcia and Edson OliveiraJr and Marcelo Morandini,2022,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Software product lines traceability: A systematic mapping study,Tassio Vale and Eduardo Santana {de Almeida} and Vander Alves and Uirá Kulesza and Nan Niu and Ricardo {de Lima},2017,Science@Direct,Rejected,Not a primary study,,N/A,N/A
What happens when software developers are (un)happy,Daniel Graziotin and Fabian Fagerholm and Xiaofeng Wang and Pekka Abrahamsson,2018,Science@Direct,Accepted,,Survey,1.0,Explore relationships
A scoping study on the 25 years of research into software testing in Brazil and an outlook on the future of the area,Vinicius Humberto Serapilha Durelli and Rodrigo Fraxino Araujo and Marco Aurelio Graciotto Silva and Rafael Alves Paes de Oliveira and Jose Carlos Maldonado and Marcio Eduardo Delamaro,2013,Science@Direct,Rejected,Not a primary study,,N/A,N/A
How to ask for technical help? Evidence-based guidelines for writing questions on Stack Overflow,Fabio Calefato and Filippo Lanubile and Nicole Novielli,2018,Science@Direct,Accepted,,Survey,1.0,Evaluate the accuracy of models
Systematic literature review of machine learning based software development effort estimation models,Jianfeng Wen and Shixian Li and Zhiyong Lin and Yong Hu and Changqin Huang,2012,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Utilizing online serious games to facilitate distributed requirements elicitation,Hadi Ghanbari and Jouni Similä and Jouni Markkula,2015,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Data-{Driven} {Requirements} {Elicitation}: {A} {Systematic} {Literature} {Review},"Lim, Sachiko and Henriksson, Aron and Zdravkovic, Jelena",2021,Springer Link,Rejected,Not a primary study,,N/A,N/A
A comparative study of students and professionals in syntactical model comprehension experiments,"El-Attar, Mohamed",2019,Springer Link,Accepted,,Experiment,1.0,Confirm theories
On the impact of state-based model-driven development on maintainability: a family of experiments using {UniMod},"Ricca, Filippo and Torchiano, Marco and Leotta, Maurizio and Tiso, Alessandro and Guerrini, Giovanna and Reggio, Gianna",2018,Springer Link,Accepted,,Experiment,1.0,Confirm conventional wisdom
Software {Process} {Improvement} {Problems} in {Twelve} {Software} {Companies}: {An} {Empirical} {Analysis},"Beecham, Sarah and Hall, Tracy and Rainer, Austen",2003,Springer Link,Rejected,Out of Scope,,N/A,N/A
Applications of ontologies in requirements engineering: a systematic review of the literature,"Dermeval, Diego and Vilela, Jéssyka and Bittencourt, Ig Ibert and Castro, Jaelson and Isotani, Seiji and Brito, Patrick and Silva, Alan",2016,Springer Link,Rejected,Not a primary study,,N/A,N/A
Group {Processes} in {Software} {Effort} {Estimation},"Moløkken-Østvold, Kjetil and Jørgensen, Magne",2004,Springer Link,Accepted,,Experiment,1.0,Explore relationships
Development of recommendation systems for software engineering: the {CROSSMINER} experience,"Di Rocco, Juri and Di Ruscio, Davide and Di Sipio, Claudio and Nguyen, Phuong T. and Rubei, Riccardo",2021,Springer Link,Rejected,Out of Scope,,N/A,N/A
Empirical evidence in global software engineering: a systematic review,"Šmite, Darja and Wohlin, Claes and Gorschek, Tony and Feldt, Robert",2010,Springer Link,Rejected,Not a primary study,,N/A,N/A
Increasing validity through replication: an illustrative {TDD} case,"Santos, Adrian and Vegas, Sira and Uyaguari, Fernando and Dieste, Oscar and Turhan, Burak and Juristo, Natalia",2020,Springer Link,Accepted,,Experiment,1.0,Validate measures
A practical guide on conducting eye tracking studies in software engineering,"Sharafi, Zohreh and Sharif, Bonita and Guéhéneuc, Yann-Gaël and Begel, Andrew and Bednarik, Roman and Crosby, Martha",2020,Springer Link,Rejected,Out of Scope,,N/A,N/A
Recovering from a decade: a systematic mapping  of information retrieval approaches  to software traceability,"Borg, Markus and Runeson, Per and Ardö, Anders",2014,Springer Link,Rejected,Not a primary study,,N/A,N/A
Experimentation with dynamic simulation models in software engineering: planning and reporting guidelines,"de França, Breno Bernard Nicolau and Travassos, Guilherme Horta",2016,Springer Link,Rejected,Out of Scope,,N/A,N/A
Design and evaluation of the {ModelHealth} toolchain for continuity of care web services,"Walderhaug, Ståle",2013,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A lightweight framework for describing software practices,Diana Kirk and Ewan Tempero,2012,Science@Direct,Rejected,Out of Scope,,N/A,N/A
A tool chain for reverse engineering C++ applications,Nicholas A. Kraft and Brian A. Malloy and James F. Power,2007,Science@Direct,Rejected,Out of Scope,,N/A,N/A
An empirical investigation on the relationship between design and architecture smells,"Sharma, Tushar and Singh, Paramvir and Spinellis, Diomidis",2020,Springer Link,Rejected,Out of Scope,,N/A,N/A
Reconciling software architecture and source code in support of software evolution,Thomas Haitzer and Elena Navarro and Uwe Zdun,2017,Science@Direct,Accepted,,Case Study,1.0,Explore relationships
Human-Oriented Software Engineering Experiments: The Large Gap in Experiment Reports,"Falcao, Larissa and Soares, Sergio",2021,El Compendex,Rejected,Not a primary study,,N/A,N/A
An Analysis of Software Engineering Experiments Using Human Subjects,"Falcao, Larissa and Ferreira, Waldemar and Borges, Alex and Nepomuceno, Vilmar and Soares, Sergio and Baldassare, Maria Teresa",2015,El Compendex,Rejected,Not a primary study,,N/A,N/A
How programmers read regular code: a controlled experiment using eye tracking,"Jbara, Ahmad and Feitelson, Dror G.",2017,El Compendex,Accepted,,Experiment,1.0,Confirm theories
Methodological Issues in Observational Studies Early Stage,"Saarimaki, Nyyti",2019,El Compendex,Rejected,Out of Scope,,N/A,N/A
Software requirements prioritization and selection using linguistic tools and constraint solversa controlled experiment,"McZara, Jason and Sarkani, Shahryar and Holzer, Thomas and Eveleigh, Timothy",2015,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Reporting experiments in software engineering,"Jedlitschka, Andreas and Ciolkowski, Marcus and Pfahl, Dietmar",2008,El Compendex,Accepted,,Survey,1.0,Explore relationships
A practical guide to controlled experiments of software engineering tools with human participants,"Ko, Andrew J. and LaToza, Thomas D. and Burnett, Margaret M.",2015,El Compendex,Rejected,Out of Scope,,N/A,N/A
What do we know about perspective-based reading? An approach for quantitative aggregation in software engineering,"Ciolkowski, Marcus",2009,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
DIGS: A Framework for Discovering Goals for Security Requirements Engineering,"Riaz, Maria and Stallings, Jonathan and Singh, Munindar P. and Slankas, John and Williams, Laurie",2016,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A systematic review of software architecture visualization techniques,"Shahin, Mojtaba and Liang, Peng and Babar, Muhammad Ali",2014,El Compendex,Rejected,Not a primary study,,N/A,N/A
What makes a good empirical software engineering thesis?: Some advice,"Vegas, Sira",2015,El Compendex,Rejected,Out of Scope,,N/A,N/A
Effective software project management education through simulation models: An externally replicated experiment,"Rodriguez, D. and Satpathy, M. and Pfahl, D.",2004,El Compendex,Accepted,,Experiment,1.0,Validate measures
Replication of an experiment on linguistic tool support for consolidation of requirements from multiple sources,"Wnuk, Krzysztof and Höst, Martin and Regnell, Björn",2012,Springer Link,Accepted,,Experiment,1.0,Validate measures
Inference of development activities from interaction with uninstrumented applications,"Bao, Lingfeng and Xing, Zhenchang and Xia, Xin and Lo, David and Hassan, Ahmed E.",2018,Springer Link,Rejected,Out of Scope,,N/A,N/A
Are models better read on paper or on screen? {A} comparative study,"El-Attar, Mohamed",2022,Springer Link,Accepted,,Experiment,1.0,Confirm theories
A benchmark-based evaluation of search-based crash reproduction,"Soltani, Mozhan and Derakhshanfar, Pouria and Devroey, Xavier and van Deursen, Arie",2020,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
What should your run-time configuration framework do to help developers?,"Sayagh, Mohammed and Kerzazi, Noureddine and Petrillo, Fabio and Bennani, Khalil and Adams, Bram",2020,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Exploring the Inventor's Paradox: Applying Jigsaw to Software Visualization,"Ruan, Haowei and Anslow, Craig and Marshall, Stuart and Noble, James",2010,ACM Digital Library,Accepted,,Experiment,0.0,
Toward Effective Deployment of Design Patterns for Software Extension: A Case Study,"Ng, T. H. and Cheung, S. C. and Chan, W. K. and Yu, Y. T.",2006,ACM Digital Library,Accepted,,Case Study,1.0,Explore relationships
The Use of Mutation in Testing Experiments and Its Sensitivity to External Threats,"Namin, Akbar Siami and Kakarla, Sahitya",2011,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
Using Practitioners for Assessing the Understandability of UML Statechart Diagrams with Composite States,"Cruz-Lemus, Jos\'{e} A. and Genero, Marcela and Morasca, Sandro and Piattini, Mario",2007,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
How Experimentation in Software Engineering Has Been Taught? Survey and Research Agenda,"Luz, Carlos Danilo and OliveiraJr, Edson and Steinmacher, Igor F.",2022,ACM Digital Library,Accepted,,Survey,1.0,Explore relationships
Does Syntax Highlighting Help Programming Novices?,"Hannebauer, Christoph and Hesenius, Marc and Gruhn, Volker",2018,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
User-Centric Security: Optimization of the Security-Usability Trade-Off,"Feth, Denis",2015,ACM Digital Library,Accepted,,Survey,0.0,
Analysing Requirements Communication Using Use Case Specification and User Stories,"Oran, Ana Carolina and Nascimento, Elizamary and Santos, Gleison and Conte, Tayana",2017,ACM Digital Library,Accepted,,Case Study,1.0,Confirm theories
Guidelines for Promoting Software Product Line Experiments,"Furtado, Viviane and OliveiraJr, Edson and Kalinowski, Marcos",2021,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
On the Success of Empirical Studies in the International Conference on Software Engineering,"Zannier, Carmen and Melnik, Grigori and Maurer, Frank",2006,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
"Empowering End Users to Customize Their Smart Environments: Model, Composition Paradigms, and Domain-Specific Tools","Desolda, Giuseppe and Ardito, Carmelo and Matera, Maristella",2017,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Understanding Understanding Source Code with Functional Magnetic Resonance Imaging,"Siegmund, Janet and K\""{a}stner, Christian and Apel, Sven and Parnin, Chris and Bethmann, Anja and Leich, Thomas and Saake, Gunter and Brechmann, Andr\'{e}",2014,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
A controlled experiment on the effects of synchronieity in remote inspection meetings,"Calefato, F. and Lanubile, F. and Mallardo, T.",2007,Scopus,Accepted,,Experiment,1.0,Explore relationships
A systematic review of effect size in software engineering experiments,"Kampenes, V.B. and Dybå, T. and Hannay, J.E. and Sjøberg, D.I.K.",2007,Scopus,Rejected,Not a primary study,,N/A,N/A
Designing your next empirical study on program comprehension,"Di Penta, M. and Stirewalt, R.E.K. and Kraemer, E.",2007,Scopus,Rejected,Out of Scope,,N/A,N/A
The role of controlled experiments working group results,"Jedlitschka, A. and Briand, L.C.",2007,Scopus,Accepted,,Experiment,1.0,Confirm theories
A hybrid approach to cleansing software measurement data,"Khoshgoftaar, T.M. and Van Hulse, J. and Seiffert, C.",2006,Scopus,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A family of experiments to investigate the effects of groupware for software inspection,"Biffl, S. and Grünbacher, P. and Halling, M.",2006,Scopus,Accepted,,Experiment,1.0,Evaluate the accuracy of models
An Open Science-Based Framework for Managing Experimental Data in Software Engineering,"Cordeiro, A.F.R.",2022,Scopus,Accepted,,Experiment,1.0,Evaluate the accuracy of models
An Experiment in an industrial business intelligence environment to improve data loads maintenance [Um Experimento em um ambiente de business intelligence industrial para melhoria da manutenção de cargas de dados],"Costa, J.K.G. and Santosa, I.P.O. and Júnior, M.C. and Nascimento, A.V.R.P.",2016,Scopus,Rejected,Out of Scope,,N/A,N/A
Experimentation at Industrial Setting to Improve the Effectiveness of the ETL Procedures Implementation in a Business Intelligence Environment [Experimentação na Indústria para Aumento da Efetividade da Construção de Procedimentos ETL em um Ambiente de Business Intelligence],"Costa, J.K.G. and Santos, I.P.O. and Nascimento, A.V.R.P. and Júnior, M.C.",2015,Scopus,Rejected,Out of Scope,,N/A,N/A
Empirical assessment of the effort needed to attack programs protected with client/server code splitting,"Viticchie, Alessio and Regano, Leonardo and Basile, Cataldo and Torchiano, Marco and Ceccato, Mariano and Tonella, Paolo",2020,El Compendex,Accepted,,Experiment,1.0,Confirm theories
Automated support for controlled experiments in software engineering: A systematic review,"Freire, Marilia and Costa, Daniel and Campos, Edmilson and Medeiros, Taina and Kulesza, Uira and Aranha, Eduardo and Soares, Sergio",2013,El Compendex,Rejected,Not a primary study,,N/A,N/A
Data-driven software design with Constraint Oriented Multi-variate Bandit Optimization (COMBO),"Ros, Rasmus and Hammar, Mikael",2020,El Compendex,Rejected,Out of Scope,,N/A,N/A
On the diffuseness and the impact on maintainability of code smells: a large scale empirical investigation,"Palomba, Fabio and Bavota, Gabriele and Penta, Massimiliano Di and Fasano, Fausto and Oliveto, Rocco and Lucia, Andrea De",2018,Springer Link,Accepted,,Case Study,1.0,Confirm theories
Mock objects for testing java systems,"Spadini, Davide and Aniche, Maurício and Bruntink, Magiel and Bacchelli, Alberto",2019,Springer Link,Accepted,,Survey,1.0,Confirm theories
Take a deep breath: {Benefits} of neuroplasticity practices for software developers and computer workers in a family of experiments,"Penzenstadler, Birgit and Torkar, Richard and Martinez Montes, Cristina",2022,Springer Link,Accepted,,Experiment,0.0,
How does developer interaction relate to software quality? an examination of product development data,"Datta, Subhajit",2018,Springer Link,Accepted,,Experiment,1.0,Explore relationships
What do developers search for on the web?,"Xia, Xin and Bao, Lingfeng and Lo, David and Kochhar, Pavneet Singh and Hassan, Ahmed E. and Xing, Zhenchang",2017,Springer Link,Accepted,,Survey,1.0,Explore relationships
Design Patterns in Software Maintenance: An Experiment Replication at Brigham Young University,"Krein, Jonathan L. and Pratt, Landon J. and Swenson, Alan B. and MacLean, Alexander C. and Knutson, Charles D. and Eggett, Dennis L.",2011,IEEE Xplore,Accepted,,Experiment,1.0,Confirm theories
Design Patterns in Software Maintenance: An Experiment Replication at University of Alabama,"Nanthaamornphong, Aziz and Carver, Jeffrey C.",2011,IEEE Xplore,Accepted,,Experiment,1.0,Confirm theories
N-way Diff: Set-based Comparison of Software Variants,"Duszynski, Slawomir and Tenev, Vasil L. and Becker, Martin",2020,IEEE Xplore,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Supporting Online Updates of Software Product Lines: A Controlled Experiment,"Michalik, Bartosz and Weyns, Danny and Boucke, Nelis and Helleboogh, Alexander",2011,IEEE Xplore,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Optimize defect detection techniques through empirical software engineering method,Hai Tao Sun,2005,IEEE Xplore,Accepted,,Experiment,1.0,Confirm theories
Ap\'{e}ritif: Scaffolding Preregistrations to Automatically Generate Analysis Code and Methods Descriptions,"Pang, Yuren and Reinecke, Katharina and Just, Ren\'{e}",2022,ACM Digital Library,Accepted,,Survey,0.0,
Development of Auxiliary Functions: Should You Be Agile? An Empirical Assessment of Pair Programming and Test-First Programming,"Lemos, Ot\'{a}vio Augusto Lazzarini and Ferrari, Fabiano Cutigi and Silveira, F\'{a}bio Fagundes and Garcia, Alessandro",2012,ACM Digital Library,Accepted,,Experiment,1.0,Explore relationships
Are Students Representatives of Professionals in Software Engineering Experiments?,"Salman, Iflaah and Misirli, Ayse Tosun and Juristo, Natalia",2015,ACM Digital Library,Accepted,,Experiment,1.0,Explore relationships
An Empirical Study about the Effectiveness of Debugging When Random Test Cases Are Used,"Ceccato, Mariano and Marchetto, Alessandro and Mariani, Leonardo and Nguyen, Cu D. and Tonella, Paolo",2012,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
Empirical Interval Estimates for the Defect Content after an Inspection,"Padberg, Frank",2002,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
UX-Tips: A UX Evaluation Technique to Support the Identification of Software Application Problems,"Marques, Leonardo and Matsubara, Patr\'{\i}cia and Nakamura, Walter and Wiese, Igor and Zaina, Luciana and Conte, Tayana",2019,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
An Experimental Study on Detecting Semantic Defects in Object-Oriented Programs Using Software Reading Techniques,"Mohammed, Alfaroq O. and Abdelnabi, Ziad A. and Maatuk, Abdelsalam M. and Abdalla, Abdalmunam S.",2015,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Dealing with Identifiers and Comments in Source Code Comprehension and Maintenance: Results from an Ethnographically-Informed Study with Students and Professionals,"Salviulo, Felice and Scanniello, Giuseppe",2014,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
The task-dependent nature of the maintenance of object-oriented programs,Gordon L. Freeman and Stephen R. Schach,2005,Science@Direct,Accepted,,Experiment,1.0,Confirm theories
Defining and validating metrics for navigational models,"Abrahao, S. and Condori-Fernandez, N. and Olsina, L. and Pastor, O.",2003,IEEE Xplore,Accepted,,Experiment,1.0,Evaluate the accuracy of models
The impact of domain knowledge on the effectiveness of requirements idea generation during requirements elicitation,"Niknafs, Ali and Berry, Daniel M.",2012,IEEE Xplore,Accepted,,Experiment,1.0,Confirm theories
Debugging Concurrent Software: A Study Using Multithreaded Sequence Diagrams,"Fleming, Scott D. and Kraemer, Eileen and Stirewalt, R. E. K. and Dillon, Laura K.",2010,IEEE Xplore,Accepted,,Experiment,1.0,Explore relationships
Test Inspected Unit or Inspect Unit Tested Code?,"Gupta, Atul and Jalote, Pankaj",2007,IEEE Xplore,Accepted,,Experiment,1.0,Explore relationships
Triangulating Experiments in an Industrial Setting to Evaluate Preferred Representational Systems of Software Developers,"Júnior, Methanias Colaço and Farias, Mario Andre de Freitas and Maciel, Igor and Santos, Paulo Henrique dos and Mendonca, Manoel",2014,IEEE Xplore,Accepted,,Experiment,1.0,Explore relationships
"Finding ""early"" indicators of UML class diagrams understandability and modifiability","Genero, M. and Piatini, M. and Manso, E.",2004,IEEE Xplore,Accepted,,Experiment,1.0,Explore relationships
A survey of controlled experiments in software engineering,"Sjoeberg, D.I.K. and Hannay, J.E. and Hansen, O. and Kampenes, V.B. and Karahasanovic, A. and Liborg, N.-K. and Rekdal, A.C.",2005,IEEE Xplore,Rejected,Out of Scope,,N/A,N/A
